trip_index,station1,station2,distance,duration,node0,node1,node2
531,1813,1874,65.22,66.31,0,2,1
532,1813,1868,67.05,67.55,0,2,1
533,1813,1869,65.99,65.12,0,2,1
534,1813,1877,64.73,68.71,0,2,1
535,1728,1739,17.91,30.86,0,1,2
536,1728,1824,8.34,14.98,0,1,2
537,1728,253,19.36,33.28,0,1,2
538,1728,264,13.52,28.75,0,1,2
539,1728,1814,9.63,18.08,0,2,1
540,1728,2259,9.63,18.41,0,2,1
541,1728,252,19.72,34.28,0,1,2
542,1728,246,13.75,29.41,0,1,2
543,1728,250,9.31,16.95,0,1,2
544,1728,254,19.77,34.34,0,1,2
545,1728,1818,11.7,23.97,0,1,2
546,1728,1090,9.65,17.83,0,1,2
547,1728,285,10.79,20.36,0,1,2
548,1728,358,9.91,18.66,0,2,1
549,1728,1042,20.07,35.23,0,1,2
550,1728,1727,14.64,31.46,0,1,2
551,1728,1091,12.23,25.08,0,1,2
552,1728,1769,9.91,18.66,0,2,1
553,1728,1731,12.41,25.78,0,1,2
554,1728,256,10.77,20.74,0,2,1
555,1728,1726,13.03,27,0,1,2
556,1728,265,14.42,30.57,0,1,2
557,1728,225,11.7,24.08,0,1,2
558,1728,1096,13.53,28.42,0,1,2
559,1728,1097,15.17,32.37,0,1,2
560,1728,1729,10.86,21.02,0,2,1
561,1728,1052,12.62,26.11,0,2,1
562,1728,2268,10.87,20.79,0,2,1
563,1728,1017,13.49,28.28,0,1,2
564,1728,1730,11.25,21.78,0,2,1
565,1728,251,11.33,22.64,0,2,1
566,1728,1028,12.18,25.06,0,2,1
567,1728,171,14.11,29.83,0,1,2
568,1728,1798,12.59,26.08,0,2,1
569,1728,248,13.91,29.13,0,1,2
570,1728,189,13.79,28.97,0,1,2
571,1728,183,12.78,26.04,0,1,2
572,1728,259,12.14,24.95,0,2,1
573,1728,1098,16.29,35.4,0,1,2
574,1728,1024,15.87,33.96,0,1,2
575,1728,1745,12.18,24.44,0,2,1
576,1728,1743,11.98,23.56,0,2,1
577,1728,262,11.8,23,0,2,1
578,1728,1019,13.48,28.07,0,2,1
579,1728,260,14.18,30.02,0,2,1
580,1728,1051,16.83,36.57,0,1,2
581,1728,1768,16.92,36.89,0,1,2
582,1728,1720,12.65,25.17,0,2,1
583,1728,296,14.19,29.84,0,2,1
584,1728,1737,12.64,25.19,0,2,1
585,1728,1721,14.82,31.62,0,2,1
586,1728,289,13.56,27.84,0,2,1
587,1728,1031,13.66,28.33,0,2,1
588,1728,1039,14.9,31.04,0,2,1
589,1728,1767,16.56,35.88,0,2,1
590,1728,247,13.66,27.77,0,2,1
591,1728,1038,13.37,24.6,0,1,2
592,1728,258,13.8,27.97,0,2,1
593,1728,249,15.4,32.84,0,2,1
594,1728,1744,19.97,40.04,0,2,1
595,1728,1050,15.33,32.64,0,2,1
596,1728,1821,14.41,30.19,0,2,1
597,1728,1748,17.67,38.66,0,2,1
598,1728,1809,20.41,41.33,0,2,1
599,1728,1749,14.27,29.43,0,2,1
600,1728,1823,17.03,36.93,0,2,1
601,1728,1763,14.41,29.48,0,2,1
602,1728,1102,16.49,35.52,0,2,1
603,1728,1025,17.07,36.92,0,2,1
