,start_station_name,end_station_name,count
498,Castle Street,Portobello - Kings Road,4
499,Castle Street,Royal Commonwealth Pool,1
500,Castle Street,Scotland Street,5
501,Castle Street,Simon Square,1
502,Castle Street,South Trinity Road,3
503,Castle Street,St Andrew Square,9
504,Castle Street,St Andrews House,1
505,Castle Street,Stockbridge,7
506,Castle Street,Surgeons Hall,4
507,Castle Street,Tollcross,9
508,Castle Street,Victoria Quay,5
509,Castle Street,Waitrose Comely Bank,2
510,Castle Street,Waverley Bridge,14
511,Castle Street,Waverley Court,2
512,Castle Street,West Crosscauseway,3
513,Castle Street,Wester Coates Terrace,1
514,Castle Terrace,Abbeyhill,13
515,Castle Terrace,Boroughmuir,5
516,Castle Terrace,Bristo Square,2
517,Castle Terrace,Canonmills,1
518,Castle Terrace,Castle Street,1
519,Castle Terrace,Castle Terrace,16
520,Castle Terrace,Causewayside,5
521,Castle Terrace,Chambers Street,4
522,Castle Terrace,Charlotte Square,1
523,Castle Terrace,Craigleith Road,1
524,Castle Terrace,Dalry Road Lidl,2
525,Castle Terrace,Dean Street,1
526,Castle Terrace,Drumsheugh Place,1
527,Castle Terrace,Duke Street,2
528,Castle Terrace,Dundas Street,1
529,Castle Terrace,Dundee Terrace,5
530,Castle Terrace,Dynamic Earth,5
531,Castle Terrace,East London Street,9
532,Castle Terrace,Edinburgh Park Station,1
533,Castle Terrace,Fountainbridge,6
534,Castle Terrace,Gorgie Road,3
535,Castle Terrace,Grassmarket,6
536,Castle Terrace,Haymarket Station,1
537,Castle Terrace,Hillside Crescent,6
538,Castle Terrace,Holyrood Road,3
539,Castle Terrace,Kings Building 2,2
540,Castle Terrace,Kings Buildings - Murchison House,2
541,Castle Terrace,Kings Buildings 1,2
542,Castle Terrace,Lauriston Place,5
543,Castle Terrace,Logie Green Road,5
544,Castle Terrace,Lothian Road,8
545,Castle Terrace,Meadow Place,2
546,Castle Terrace,Meadows East,3
547,Castle Terrace,Meggetland,6
548,Castle Terrace,Ocean Terminal,1
549,Castle Terrace,Orchard Brae House,1
550,Castle Terrace,Picardy Place,2
551,Castle Terrace,Pleasance Courtyard,2
552,Castle Terrace,Pollock Halls,2
553,Castle Terrace,Royal Commonwealth Pool,4
554,Castle Terrace,Simon Square,1
555,Castle Terrace,South Trinity Road,2
556,Castle Terrace,St Andrew Square,4
557,Castle Terrace,St Andrews House,2
558,Castle Terrace,Tollcross,3
559,Castle Terrace,Victoria Quay,7
560,Castle Terrace,Waverley Bridge,6
561,Castle Terrace,Waverley Court,2
562,Castle Terrace,Waverley Station,1
563,Castle Terrace,Wester Coates Terrace,1
564,Causewayside,Abbeyhill,4
565,Causewayside,Boroughmuir,6
566,Causewayside,Bristo Square,4
567,Causewayside,Brunswick Place,3
568,Causewayside,Bruntsfield Links,5
569,Causewayside,Canonmills,1
570,Causewayside,Castle Street,4
571,Causewayside,Castle Terrace,2
572,Causewayside,Causewayside,19
573,Causewayside,Charlotte Square,7
574,Causewayside,City Chambers,3
575,Causewayside,Colinton Road,3
576,Causewayside,Comely Bank Road,1
577,Causewayside,Corstorphine Road,1
578,Causewayside,Cramond Foreshore,2
579,Causewayside,Crichton Street,8
580,Causewayside,Drumsheugh Place,1
581,Causewayside,Duke Street,1
582,Causewayside,Dundas Street,2
583,Causewayside,Dundee Terrace,7
584,Causewayside,EICC,12
585,Causewayside,Fountainbridge,6
586,Causewayside,George Square,5
587,Causewayside,Gladstone Terrace,3
588,Causewayside,Gorgie Road,4
589,Causewayside,Grassmarket,6
590,Causewayside,Haymarket Station,4
591,Causewayside,Haymarket Terrace,1
592,Causewayside,Heriot Watt - Edinburgh Business School,3
593,Causewayside,Hillside Crescent,2
594,Causewayside,Holyrood Road,1
595,Causewayside,Hunter Square,4
596,Causewayside,Inverleith Row,1
597,Causewayside,Joppa,2
598,Causewayside,Kings Building 2,19
599,Causewayside,Kings Building 3,5
600,Causewayside,Kings Buildings 1,5
601,Causewayside,Lauriston Place,2
602,Causewayside,Leith Walk,3
603,Causewayside,Leith Walk North,4
604,Causewayside,Logie Green Road,1
605,Causewayside,Lothian Road,4
606,Causewayside,Marchmont Crescent,3
607,Causewayside,McDonald Road,1
608,Causewayside,Meadow Place,7
609,Causewayside,Meadows East,12
610,Causewayside,Meggetland,3
611,Causewayside,Morningside Road,11
612,Causewayside,Ocean Terminal,1
613,Causewayside,Picardy Place,1
614,Causewayside,Pleasance Courtyard,1
615,Causewayside,Pollock Halls,3
616,Causewayside,Portobello - Kings Road,4
