,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
828,259,1769,St Andrew Square,Brunswick Place,55.95490573198223,-3.192443756949956,55.960851741063955,-3.180985762469163,18
3763,1769,1824,Brunswick Place,Duke Street,55.960851741063955,-3.180985762469163,55.96901164826488,-3.16739470303429,18
2864,1730,1824,East London Street,Duke Street,55.95995414501485,-3.1871977585476543,55.96901164826488,-3.16739470303429,18
3053,1743,1824,Logie Green Road,Duke Street,55.964058329676064,-3.195700361124864,55.96901164826488,-3.16739470303429,17
1415,1019,289,Grassmarket,Castle Street,55.947097278583385,-3.1972457326126005,55.95150073734976,-3.2031839065252825,17
3702,1768,1767,Thirlestane Road,Bruntsfield Links,55.93532370964813,-3.198763443819871,55.9371232399911,-3.206431879393449,17
3563,1765,1821,Haymarket Terrace,Drumsheugh Place,55.946063966641006,-3.2230240243595745,55.95159412232485,-3.2123542850940225,17
3956,1808,1808,Gorgie Road,Gorgie Road,55.9387414422504,-3.2299092549009023,55.9387414422504,-3.2299092549009023,17
847,260,260,Lauriston Place,Lauriston Place,55.94477165233547,-3.197265856419562,55.94477165233547,-3.197265856419562,17
3120,1745,262,Scotland Street,Canonmills,55.9603797205459,-3.1954703369027584,55.96280408759764,-3.196283585062929,17
4520,2268,2268,Picardy Place,Picardy Place,55.95653524179326,-3.1862476120746805,55.95653524179326,-3.1862476120746805,17
75,183,265,Waverley Bridge,Meadows East,55.95198075619354,-3.191890332557904,55.939809466328285,-3.182738850746431,17
964,264,1017,Pollock Halls,Crichton Street,55.94008064125911,-3.171746866852459,55.94478427951007,-3.1869062454337613,17
65,183,250,Waverley Bridge,Victoria Quay,55.95198075619354,-3.191890332557904,55.97761715254634,-3.174126319457628,17
4140,1820,1820,Heriot Watt - Student Accommodation,Heriot Watt - Student Accommodation,55.908413444598246,-3.3287835258168874,55.908413444598246,-3.3287835258168874,17
2343,1098,265,Marchmont Crescent,Meadows East,55.9364319181482,-3.1941500443142563,55.939809466328285,-3.182738850746431,17
2312,1097,1721,Gladstone Terrace,Tollcross,55.93796327344498,-3.185021145932069,55.944248052468346,-3.2031045991104747,17
113,183,1756,Waverley Bridge,Western General Hospital,55.95198075619354,-3.191890332557904,55.96283984266854,-3.234135938375289,17
627,253,1096,Kings Building 2,West Crosscauseway,55.92320215516664,-3.1716462453634904,55.9438359841253,-3.1849514084976818,17
4426,2259,1028,Leith Walk North,Hunter Square,55.967918070442884,-3.1735862970647304,55.949797565633276,-3.1877950320129003,17
4126,1819,1820,Heriot Watt - Edinburgh Business School,Heriot Watt - Student Accommodation,55.9088228790413,-3.320113285176247,55.908413444598246,-3.3287835258168874,17
3722,1769,259,Brunswick Place,St Andrew Square,55.960851741063955,-3.180985762469163,55.95490573198223,-3.192443756949956,16
1530,1024,1823,Meadow Place,Boroughmuir,55.940237631689435,-3.194640214184801,55.94007146917616,-3.2153358406880836,16
647,253,1823,Kings Building 2,Boroughmuir,55.92320215516664,-3.1716462453634904,55.94007146917616,-3.2153358406880836,16
1719,1039,358,Lothian Road,Leith Walk,55.947409199207115,-3.2057654971365537,55.965039805077325,-3.1766864147848537,16
1006,265,171,Meadows East,George Square,55.939809466328285,-3.182738850746431,55.943084063011135,-3.1883110727223998,16
3772,1770,289,Ellersly Road,Castle Street,55.945045875212095,-3.250881447188249,55.95150073734976,-3.2031839065252825,16
3989,1813,1813,Milton Road - Edinburgh College,Milton Road - Edinburgh College,55.94406627599551,-3.0985614794416128,55.94406627599551,-3.0985614794416128,16
1220,296,296,Castle Terrace,Castle Terrace,55.946766486722396,-3.2020378290551434,55.946766486722396,-3.2020378290551434,16
620,253,1025,Kings Building 2,Dundee Terrace,55.92320215516664,-3.1716462453634904,55.93970989541296,-3.2205889336679547,16
503,250,285,Victoria Quay,Ocean Terminal,55.97761715254634,-3.174126319457628,55.98128601479298,-3.176351263805259,16
224,246,246,Royal Commonwealth Pool,Royal Commonwealth Pool,55.93900024788878,-3.1739235543155933,55.93900024788878,-3.1739235543155933,16
1812,1050,289,EICC,Castle Street,55.94607055533778,-3.2103963310007657,55.95150073734976,-3.2031839065252825,16
1280,358,259,Leith Walk,St Andrew Square,55.965039805077325,-3.1766864147848537,55.95490573198223,-3.192443756949956,16
2137,1092,289,Dalry Road Lidl,Castle Street,55.941791296881284,-3.2224153095965,55.95150073734976,-3.2031839065252825,16
263,246,1744,Royal Commonwealth Pool,Morningside Road,55.93900024788878,-3.1739235543155933,55.92798534979654,-3.209749771944871,16
261,246,1731,Royal Commonwealth Pool,Pleasance Courtyard,55.93900024788878,-3.1739235543155933,55.947490592969416,-3.1811121261019646,16
2023,1090,258,Hillside Crescent,Stockbridge,55.95787194536338,-3.175888370919665,55.958565585897226,-3.2080701822277438,16
2878,1731,265,Pleasance Courtyard,Meadows East,55.947490592969416,-3.1811121261019646,55.939809466328285,-3.182738850746431,16
3044,1743,1743,Logie Green Road,Logie Green Road,55.964058329676064,-3.195700361124864,55.964058329676064,-3.195700361124864,16
4139,1820,1819,Heriot Watt - Student Accommodation,Heriot Watt - Edinburgh Business School,55.908413444598246,-3.3287835258168874,55.9088228790413,-3.320113285176247,16
1501,1024,1726,Meadow Place,Simon Square,55.940237631689435,-3.194640214184801,55.94485886752089,-3.182589723460069,16
1056,265,1731,Meadows East,Pleasance Courtyard,55.939809466328285,-3.182738850746431,55.947490592969416,-3.1811121261019646,16
1034,265,1039,Meadows East,Lothian Road,55.939809466328285,-3.182738850746431,55.947409199207115,-3.2057654971365537,16
2734,1728,264,Portobello - Kings Road,Pollock Halls,55.957915406923476,-3.118332042090288,55.94008064125911,-3.171746866852459,16
